centro	descripEs
Movilidad	SERVICIO DE MOVILIDAD URBANA
Limpieza	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS
Equipamientos	EQUIPAMIENTOS INSTALACIONES
S Sociales	S. SOCIALES COMUNITARIOS
Jardinerias	SERVICIO DE PARQUES Y JARDINES
Infraestructuras	SERVICIO TÉCNICO DE INFRAESTRUCTURAS
Inst. Deportivas	SERVICIO DE INSTALACIONES DEPORTIVAS
Agua	CICLO INTEGRAL DEL AGUA
Mant. Infraestructuras	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS
redes	SERVICIO DE REDES Y SISTEMAS
Juventud	SERVICIO DE JUVENTUD
Patrimonio	UNIDAD DE INVENTARIO Y GESTIÓN PATRIMONIAL
Cartografía	SERVICIO DE EXPLOTACIÓN DE REDES Y CARTOGRAFIA
Admin Economía	SERVICIO ADMINISTRATIVO DE ECONOMIA
Oficina técnica del mayor	OFICINA TECNICA DEL MAYOR
Casa Amparo	CASA DE AMPARO
Medio ambiente	DIRECCIÓN DE LA AGENCIA DE MEDIO AMBIENTEY SOSTENIBILIDAD
Policia	POLICIA LOCAL
arquitectura	SERVICIO DE TALLERES Y BRIGADAS DE ARQUITECTURA
Modernización	SERVICIO DE MODERNIZACION Y DESARROLLO ORGANIZATIVO
Bomberos	SERVICIO CONTRA INCENDIOS, DE SALVAMENTO Y PROTECCIÓN CIVIL
Inspección urbanística	SER.INSPECCIÓN URBANÍSTICA
