centro	actividad	quien	importe	date
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 97 - MAYO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	4777698.65	27/07/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 96 - ABRIL 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	FCC-SA	4702463.78	21/06/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 92 - DICIEMBRE 2015 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	4696420.92	30/03/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 95 - MARZO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	FCC-SA	4654693.53	31/05/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 93 - ENERO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	FCC-SA	4650512.81	29/04/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 91 - NOVIEMBRE 2015 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	4535080.03	26/02/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 94 - FEBRERO 2016 - LIMPIEZA, RECOGIDAY TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	FCC-SA	4458833.43	17/05/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 98 - JUNIO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	4374013.83	26/08/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 99 - JULIO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA.	FCC-SA	4351324.36	30/09/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 1/2016. 1 OCTUBRE A 31 DICIEMBRE 2015. LÍNEA 1 TRANVÍA.	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	3572965.39	11/03/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 13/15. OCTUBRE 2015. SERVICIO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	AVANZA ZARAGOZA S.A.U.	3488741.77	24/02/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 3/2016. 1 ABRIL A 30 JUNIO 2016. LÍNEA 1 TRANVÍA	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	3368166.91	05/09/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	PARCIAL-CERTIFICACIÓN 101-SEPTIEMBRE 2016- LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	3224198.12	10/04/17
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 06/16. JUNIO 2016. SERV. PÚBLICO TRANSP. URBANO DE VIAJEROS POR AUTOBUS. AUZSA. SUBVENCIÓN	AVANZA ZARAGOZA S.A.U.	3208899.67	30/09/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 10/16. SEPTIEMBRE 2016. SERVICIO PÚBLICO TRANSPORTE URBANO POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	2986315.61	30/12/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 09/16. AGOSTO 2016. SERV. PÚBLICO TRANSP. URBANO POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	2888178.57	02/12/16
CICLO INTEGRAL DEL AGUA	Suministro de agua del Sistema Yesa-Sora-Bardenas 1/9/15 al 29/2/16	AGUAS-DE-LAS CUENCAS DE ESPAÑA, S.A.	2844613.19	27/05/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 05/16. MAYO 2016. SERV. PÚBLICO TRANSP. URBANO DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	2812588.2	24/08/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 04/16. ABRIL 2016. SERV. PÚBLICO TRANSP. URBANO DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	2774075.9	26/07/16
CICLO INTEGRAL DEL AGUA	Suministro de agua del Sistema Yesa-Sora-Bardenas 1/3/16 al 31/8/16	AGUAS-DE-LAS CUENCAS DE ESPAÑA, S.A.	2740643.38	30/12/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 08/16. JULIO 2016. SERV. PÚBLICO TRANSPORTE URBANO POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	2621516.25	28/10/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 2/2016. 1 ENERO A 31 MARZO 2016. LÍNEA 1 TRANVÍA.	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	2564737.05	07/06/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACION Nº 100 - AGOSTO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	2519794.42	23/11/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 14/15. NOVIEMBRE 2015. SERVICIO PÚBLICO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	2293879.5	11/03/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	2230495.19	06/05/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 4/2016. 1 JULIO A 30 SEPTIEMBRE 2016. LÍNEA 1 TRANVÍA.	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	2214715.26	28/11/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 03/16. MARZO 2016. SERV. PÚBLICO TRANSP. URBANO DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	2198145.46	30/06/16
SERVICIO ADMINISTRATIVO DE ECONOMIA	Revisión precios Factura Electrónica: SM1670/1006427	FCC-SA	2000000	17/01/17
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 02/16. FEBRERO 2016. SERVICIO PÚBLICO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	1973093.71	07/06/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 12/15. SEPTIEMBRE 2015. SERVICIO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	AVANZA ZARAGOZA S.A.U.	1654536.7	28/01/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 15/15. DICIEMBRE 2015. SERVICIO PÚBLICO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	1652275.37	20/04/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 11/16. OCTUBRE 2016. SERVICIO PÚBLICO DE TRANSPORTE DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	1652215.09	10/01/17
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN DE AJUSTES POR INVERSIÓN AÑO 2014. AUZSA.	AVANZA ZARAGOZA S.A.U.	1631721.18	14/10/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS DE ELECTRICIDAD NOVIEMBRE	GAS-NATURAL-COMERCIALIZADORA-SA	1619527.8	24/02/17
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS DE ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1615601.97	30/12/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1615095.52	06/09/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1540689.16	15/07/16
