people	ncontratos	importe
FCC-SA	39	61859521
AVANZA ZARAGOZA S.A.U.	16	35240487
GAS-NATURAL-COMERCIALIZADORA-SA	242	25554894
SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	14	13193255
EULEN-SA	68	11195126
URBASER-SA-Y-VERTEDEROS-DE-RESID	12	8373979
FERROSER SERVICIOS AUXILIARES S.A.	30	8324437
SERVISAR-SERVICIOS-SOCIALES-SL	127	7313923
UTE ALUMBRADO ZARAGOZA	127	7222731
MONCOBRA-SA	55	6748958
CLECE-SA	29	6105609
AGUAS-DE-LAS CUENCAS DE ESPAÑA, S.A.	2	5585257
AGREDA-AUTOMOVIL-SA	111	3296165
CERMA-ARRIAXA-SL	41	3062897
SUPERMERCADOS-SABECO-SA	12	2807426
AQUARA-SAU	19	2395108
PRIDES- COOPERATIVA	257	2360257
CONST-MARIANO-LOPEZ-NAVARRO-SA	42	2336102
FERROVIAL-SERVICIOS-SA	25	2215523
ALOSA-AUTOCARES-Y-AUTOBUSES-SL	14	1946124
UMBELA-SCL	11	1849662
CONSTRUCC-IBERCO-SA	29	1716314
ZURICH INSURANCE PLC	3	1713992
SERV-TELEASISTENCIA-SA	26	1655077
INFRAESTRUCTURAS-VIALES-SA	22	1607899
UTE-URBASER.SA-SOCAMEX.SAU	12	1534000
IMESA	87	1456750
ALBADA-SCL	53	1427822
DORNIER-SA	12	1215084
API-MOVILIDAD-SA	8	1164350
MONDO-IBERICA-SA	2	1113310
UTE TDE TME CXXXIX TELEFONICA DE ESPA|A	13	1039087
AUTOCARES-SAMAR-BUIL-SA	5	1021944
VITALIA-ANETO-SL	11	990225
CDAD-GRAL-REG-CANAL-IMP-ARAGON	16	958516
AUTOMOVILES-ZARAGOZA-SA	10	923001
