Ejercicio	Descripcion	Servicio Gestor	Proveedor	Importe	Fecha de Pago	Column 7	Column 8
2015	CERTIFICACIÓN Nº 90 - OCTUBRE 2015 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	5085225.97	26/02/16		
2015	CERTIFICACION 78. OCTUBRE 2014 LIMPIEZA RECOGIDA Y TRANSPORTE RESIDUOS URBANOS EN ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	5046377.48	26/02/15		
2015	Factura Electrónica: SM1670/1000634	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4673991.05	25/03/15		
2015	Factura Electrónica: SM1670/1001298	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4634135.1	30/04/15		
2015	PARCIAL - CERTIFICACIÓN Nº 83 - MARZO 2015 - LIMPIEZA RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA - Factura Electrónica: SM1670/1002223	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4611860.68	25/05/15		
2015	CERTIFICACION Nº 84 ABRIL 2015. LIMPIEZA RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA - Factura Electrónica: SM1670/1002358	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4459550.17	10/06/15		
2015	Factura Electrónica: SM1670/1000549	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4447658.86	16/03/15		
2015	CERTIFICACIÓN Nº 87 - JULIO 2015 - LIMPIEZA RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4373801.62	30/09/15		
2015	Factura Electrónica: SM1670/1001755	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4360567.04	15/05/15		
2015	PARCIAL-CERTIFICACIÓN Nº 86 - JUNIO 2015 - LIMPIEZA RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4292873.31	04/09/15		
2015	PARCIAL-CERTIFICACION Nº 85-MAYO 2015- LIMPIEZA RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4272534.73	31/07/15		
2015	PARCIAL - CERTIFICACIÓN Nº 89 - SEPTIEMBRE 2015 - LIMPIEZA RECOGIDA Y TRANSPORTE DE RESIDUOS  URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	4159228.84	26/02/16		
2015	PARCIAL - CERTIFICACIÓN  Nº 88 - AGOSTO 2015 - LIMPIEZA  RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	3398625.74	29/02/16		
2015	CERTIFICACIÓN Nº 3/2015. 1 ABRIL A 30 JUNIO 2015. LÍNEA 1 DEL TRANVÍA.	SERVICIO DE MOVILIDAD URBANA	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	3206816.96	04/09/15		
2015	CERTIFICACIÓN Nº 1/2015. 1 OCTUBRE A 31 DICIEMBRE 2014. LÍNEA DEL TRANVÍA DE ZARAGOZA.	SERVICIO DE MOVILIDAD URBANA	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	3153522.78	27/03/15		
2015	CERTIFICACIÓN 07/15. JUNIO 2015. SERVICIO TRANSPORTE URBANOS DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	3057289.08	30/09/15		
