Número	TIPO DE CONTRATO	date	dni	actividad	centro	importe	quien		BOLETÍN OFICIAL	COMENTARIOS
1126	SUMINISTRO	11/24/2014	AM-2012/AC003	ACUER. MAR. VACUN	SERVICIO MADRILEÑO DE SALUD	1277099.00	SANOFI PASTEUR MSD		BOCM 02/01/2015	
1127	SUMINISTRO	11/17/2014	AM-2012/AC003	ACUER. MAR. VACUN	SERVICIO MADRILEÑO DE SALUD	411298.00	SANOFI PASTEUR MSD		BOCM 02/01/2015	
1128	SUMINISTRO	12/5/2014	SUMMA PA/SU/02/14	EQUIPOS PROTECC.	SUMMA 112	747659.00	ITURRI SA		BOCM 02/01/2015	
1129	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	131214.00	VWR INTERNATIONAL EUR.		BOCM 07/01/2015	
1130	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	2998.00	KRAPE SA		BOCM 07/01/2015	
1131	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	2743.00	DISTRIBUCIONES CLINICAS		BOCM 07/01/2015	
1132	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	11090.00	CASA ALVAREZ SA		BOCM 07/01/2015	
1133	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	731.00	ENRAF NONIUS IBERICA SA		BOCM 07/01/2015	
1134	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	732.00	DISTRIBUCIONES CLINICAS		BOCM 07/01/2015	
1135	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	5738.00	VWR INTERNATIONAL EUR.		BOCM 07/01/2015	
1136	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	14489.00	PANREAC QUIMICA SLU		BOCM 07/01/2015	
1137	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	1362.00	PANREAC QUIMICA SLU		BOCM 07/01/2015	
1138	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	980.00	LEICA MICROSISTEMAS SA		BOCM 07/01/2015	
1139	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	417.00	VWR INTERNATIONAL EUR.		BOCM 07/01/2015	
1140	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	2121.00	GRUPO TAPER SA		BOCM 07/01/2015	
1141	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	5600.00	PANREAC QUIMICA SLU		BOCM 07/01/2015	
1142	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	9841.00	PANREAC QUIMICA SLU		BOCM 07/01/2015	
1143	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	1266.00	PANREAC QUIMICA SLU		BOCM 07/01/2015	
1144	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	1884.00	VWR INTERNATIONAL EUR.		BOCM 07/01/2015	
1145	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	6834.00	FRANCISCO SORIA		BOCM 07/01/2015	
