people	ncontratos	importe
OPROLER OBRAS Y PROYECTOS,S.L.	1	59.911,60
VICTORIANO PALOMERO EHIJO, S.L.	1	47.159,75
MARTA ROBLES RICO	2	22.180,00
RUNNING MUSIC FESTIVAL	1	21.659,00
PATIO DE LUCES PRODUCCIONESS.C.	1	21.659,00
URBE ASESORES JURÍDICOS, S.L.	1	21.538,00
CLUB DEPORTIVO ELEMENTAL PARACUELLOS	1	17.525,00
ASISPA, ASISTENCIA A PERSONAS MAYORES	2	16.300,00
UCALSA SERVICIOS SOCIOSANITARIOS	1	16.200,00
GENERLAND GREENGROUP GE	1	15.730,00
ELITE FUEGOS ARTIFICIALES	1	15.000,00
ZAHOZ GESTIÓN, S.L.	1	14.483,70
CRUZ ROJA ESPAÑOLA	1	14.000,00
ANLU SERVICIOS DEPORTIVOS S.L.	1	12.741,60
BILBOMÁTICA S,L.	1	11.906,40
GALLEGO CERRAJEROS, C.B.	1	10.720,60
CDE AIKIDO PARACUELLOS - CIF:G83644146	1	8.200,00
MAPFRE/ EMPRESAS	1	8.044,69
JABONERO Y MORALEDA,S.L. DESGUACES LOSSANTOS	1	8.000,00
JOSÉ JAIME FUENTES PLEITE	2	6.201,25
PITNEY BOWES ESPAÑA S.A.	1	5.904,80
LAVANDERIA PARACUELLOS PAMAR,S.L.	1	4.477,00
ASOCIACIÓN CULTURAL TAURINA LA VERÓNICA	1	3.800,00
TATIANA FERNÁNDEZ RAMOS	1	3.500,00
ANA RALUCA DUMITRASCU	1	3.400,00
HIPER USERA, S.L.	1	3.000,00
MERCADONA, S.A.	1	3.000,00
ERCEGA PRODUCTIONS, S.L.	2	2.696,00
GLORIA LÓPEZ MARTÍNEZ(GL PRODUCCIONES)	1	2.178,00
ASOCIACIÓN CULTURAL TEATRODE CÁMARA CERVANTES	1	2.000,00
MADE IN JABÓN, S.L.	1	1.936,00
LOS TITIRITEROS, S.C.	1	1.930,00
MARIA FOLGUERA DE LACÁMARA	1	1.620,00
FERNANDO BECEDAS, S.L.	1	1.437,48
IDEOTUR	1	1.119,25
ESTÁ POR VER PRODUCCIONES,S.L.U.	1	406,56
ASOCIACIÓN CULTURAL LABRUC	1	320,00
