people	ncontratos	importe	dni
FOMENTO VALENCIA MANTENIMIENTO Y LIMPIEZA, SA	138	1.445.982	A96062948
S.A. AGRICULTORES DE LA VEGA DE VALENCIA	41	876.317	A46027660
FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA	20	563.233	A28037224
IMESAPI S.A.	22	498.797	A28010478
PAVASAL SA	12	477.781	A46015129
MESQUECONS S.L.	11	376.391	B96264916
VARESER 96, S.L.	8	278.823	B96534805
OBREMO S.L.	7	274.172	B46840732
VIVERS CENTRE VERD, S.A.	6	249.738	A96072087
ETRALUX SA	13	220.379	A46066791
ACCIONA AGUA SERVICIOS, S.L.U.	5	211.425	B86774528
BECSA, S.A.U.	4	194.000	A46041711
GRUPO BERTOLIN, S.A.U.	4	185.189	A46092128
UNIVERSITAT POLITECNICA VALENCIA	13	161.020	Q4618002B
MOBIPARK SL	3	150.788	B96092150
SOCIEDAD ESPAÃƒÂ±OLA DE RADIODIFUS	36	123.798	B28016970
CONSTRUCCIONES PLAZA HERMANOS B	2	120.999	B98317894
ALBERO SOLANES, S.L.	2	120.991	B96801535
TORRESCAMARA Y CIA DE OBRAS, S.	2	115.224	A46298220
UNIVERSIDAD DE VALENCIA	14	114.246	Q4618001D
EL PUERTO CONSTRUCCIONES METALI	2	112.620	F46307393
BINARIA CIA.GRAL.CONSTRUCCIONES	2	107.961	B97229371
PROYME INGENIERIA Y CONSTRUCCIO	3	106.109	B46635991
INFORMATICA EL CORTE INGLES, SA	16	101.402	A28855260
OCIDE CONSTRUCCION, S.A.	2	99.224	A96853577
