people	ncontratos	importe
ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L.	7	205187.62
BERNA OBRAS Y PROYECTOS S.L.	2	95996.74
INDUSTRIA Y MONTAJES ELÉCTRICOS S.A.	5	88123.84
CONSTRUCCIONES IBERCO, S.A.	2	76889.38
OBRAS Y PROMOCIONES VILLAHERMOSA, S.L	3	64520.51
TELEFÓNICA SOLUCIONES 	3	61683.55
COANFI S.L	1	56194
UNIVERSIDAD DE ZARAGOZA	4	52587.8
PAVIJUS S.L.	2	50656.95
INGENIERÍA Y OBRAS ARAGONESAS DEL EBRO S.L.	1	47188.61
Cambronero Industrias metálicas, S. A. (CIMESA)	1	42665
GRUPO SOLITIUM S.L.	4	40821.16
TUINGESA S.L.	2	37891
SCHINDLER S.A.	1	35626.14
DRAGER SAFETY HISPANIA S.A.	2	35224.73
EL CORTE INGLÉS S.A.	5	34001.91
INFRAESTRUCTURAS VIALES S.A.	1	31284.19
CONSTRUCTORA ALCAÑIZANA GIL, S.L.	1	30228.22
EBROCONTRATAS ARAGÓN S.L.	2	29497.87
MUDAR S.L.(GIL STAUFFER)	2	29040
SGV SOFTWARE GRUPO V	2	28447.1
ARALINK	2	27868.72
URBANCO S.L.	1	26877.82
JOSÉ LUIS ROMEO GIL	2	25488.1
SISTEMAS INFORMÁTICOS ABIERTOS S.A.	2	24203.7
LEYENDA S.L.	3	24200
DALEX COMUNICACIONES Y ELECTRICIDAD, S.L.	2	23861.61
EXPLOTACIONES E IMPREGNACIONES FORESTALES S.A.	1	23807.96
MONCOBRA S.A.	2	23191.64
DERRIBOS SALVADOR S.L.	1	22169.8
BLANCO FERRETERIA S.L.	1	21780
ZARAGOZA &amp; EVENTOS, S.L..	1	21780
EURONA WIRELESS TELECOM S.A.	1	21778.79
MOLDES GRABI S.L.	1	21750.96
RSB SISTEMA, S.L.	1	21749.75
NEW MEDIA PROFESIONAL	1	21727.59
AGLOWLIGHT, S.L	1	21683.2
ECO-LANE S.C.	1	21580.5
IBERSYSTEM S.A	2	21237
ENRIQUE COCA S.A.	1	21204.89
LA BEZINDALLA COOPERATIVA DE INICIATIVA SOCIAL	1	21175
JAB ARAGÓN DISTRIBUCIÓN ACTIVA MULTISECTORIAL S.L.	1	20933
GRUPO UNICA, S.L.	1	20582.1
API MOVILIDAD, S.A	1	19946.85
Havas Media Proximia	1	19785
THE ENERGY HOUSE GROUP S.L. 	1	19591.11
GRUPO TANGENTE, SDAD. COOP. MADRILEÑA	1	19500
CONSULTORA ARAGONESA DE INGENIERÍA S.A	4	19385.4
CALIDAD Y ESTUDIOS ASESORÍA S.L.	1	19166.4
PYRENALIA NET CENTER, S.L.	1	18928
