people	dni	importe	ncontratos
AGAPITO URBAN INDUSTRIES SL	B99355224	180525.85	13
ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L.	B50047091	322926.62	10
PAVIJUS S.L.	B50469683	265065.61	10
INGENIERÍA TÉCNICAS GLOBALES AMBIENTAL S.L.U.	B99322679	301902.01	9
ARAELECTRIC-SA	A50046408	235222.31	7
INDUSTRIA Y MONTAJES ELÉCTRICOS S.A.	A50004829	182096.04	7
PLANTAE ARAGON S.L.	B99265282	101923.69	7
EL CORTE INGLÉS S.A.	A28017895	40587.87	6
PICASSO 34, S.L.	B50853936	70787.76	6
AGORASPORT, S.A.	A99106635	75898.8	5
GRUPO SOLITIUM S.L.	B50570571	74779.56	5
CESAR AUGUSTA 2020 S.L.	B99413361	53101.7	4
CNES. NAVASCUES ZALAYA SL	B50517754	106168.13	4
DRAGER SAFETY HISPANIA S.A.	A83140012	49274.14	4
INSERCION TRABAJO S.L	B50799014	69320.74	4
INSTRUMENTACION Y COMPONENTES	A50086412	69177.2	4
RIOS RENOVABLE SL	B31745177	146595.79	4
URBANIZACIONES-MEDIO-AMBIENTE-SL	B50847458	118217.33	4
CEOTRONICS S.L	B33360736	47525.17	3
ELKSPORT DISTRIBUCIONES, S.L.	B50301217	30191.1	3
GEOSPATIUMLAB S.L.	B99144933	54147.5	3
JUEGOS KOMPAN S.A.	A58178161	89760.48	3
LEYENDA S.L.	B50312529	97768	3
SAYTEL SOLUCIONES GLOBALES, S.L.	B99125296	52044.22	3
SGV SOFTWARE GRUPO V	B50598895	61262.3	3
SISTEMAS TECNOLÓGICOS AVANZADOS	A50069459	61334.9	3
ADIEGO-HERMANOS-SA	A50024181	28330.06	2
ARAGÓN DIGITAL, S.L	B50859818	34851.8	2
CANON ESPAÑA, S.A	A28122125	22564	2
CERMA /&amp; ARRIAXA, S.L.	B50575349	93126.86	2
CLIMATIZACION PIRENAICA SL	B22293831	103472.06	2
COMPAÑIA-VIGILANCIA-ARAGONESA-SL	B50158468	16052.39	2
CONSTRUCCIONES Y EXCAVACIONES LECHA S.L.	B44100170	32604.06	2
CONSULTORA ARAGONESA DE INGENIERÍA S.A	A50142041	12121.6	2
DATEK SISTEMAS, S.L.	B50828649	38647.4	2
DIOTRONIC-SA	A08338188	28932.92	2
ELECTRICIDAD AMARO SA	A50077700	79756.54	2
EVA MARÍA BUNBURY BUSTILLO	Dato de carácter personal	21639	2
FERROVIAL	A80241789	20432	2
FOTOPRISMA, SL, 	B22158836	23232	2
FUNDACIÓN SANTA BARBARA	G24210981	28390	2
FUNDACION-LABORAL-CONSTRUCCION	G80468416	9000	2
GIMENO SUMINISTROS INDUSTRIALES, S.A	A50079771	3917	2
GLOBAL PROJECTS SUPPLIES	B86344454	30006.49	2
IMESAPI S.A.	A28010478	34054	2
INCLIZA S.L.	B50591312	74611.65	2
INGENIERIA-Y-APLICAC-SOLARES	B99068405	80040.53	2
MINDUAL	A50060656	13670.89	2
MONTAJES TECNICO INDUSTRIALES SA	A50080597	17529.39	2
MUSISER EVENTOS, S.L	B50744424	19541.5	2
MUSISER, S.L.	B50744424	11737	2
NÓMADAS EDUCACIÓN Y GESTIÓN AMBIENTAL, S.C	J99206294	29331	2
PRIDES SOC. COOP.	F50867803	34700	2
SANTIAGO BERNAL RUIZ	Dato de carácter personal	20720	2
SERZAN-ZEC S.C.L	A50687268	1771.04	2
SESMA COMERCIAL DE ILUMINACION, SA	A50106673	9140	2
SITEMA DE RIEGO BENCAR S.L.	B50865898	26590	2
SOLUCIONES SICNOVA S.L	B23599764	7437	2
TELEFÓNICA SOLUCIONES 	A78053147	22521.69	2
TELESONIC-SA	A20095436	39280.53	2
TIPOLINEA SAU	A50008044	20771	2
TOURISM INTERACTIVE.COM SL	B50996156	15246	2
TRANVIASER S.L.	B50832542	37778.79	2
UNIVERSIDAD DE ZARAGOZA	Q5018001G	22000	2
