actividad	centro	dni	quien	importe	date	tipo
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		EL CORTE INGLÉS, S.A.	5576	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		EL CORTE INGLÉS, S.A.	34938	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		EL CORTE INGLÉS, S.A.	3072	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		SEPI- PRODISSER S.L	12077	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		SAGRES, S.L	7519	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		EL CORTE INGLÉS, S.A.	40852	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		EL CORTE INGLÉS, S.A.	5887	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		SEPI- PRODISSER S.L	8323	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		EL CORTE INGLÉS, S.A.	57184	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		EL CORTE INGLÉS, S.A.	34330	31/12/2018	Suministros(Basado en Acuerdo Marco)
Acuerdo marco de suministro de vestuario para el personal municipal, (suministro vestuario para el personal municipal 2018), Lotes: 1, 4, 6, 7, 8, 9, 12, 13, 15,17, 18, 19, 20, 21, 22, 23 y 24	Ayuntamiento		SEPI- PRODISSER S.L	36417	31/12/2018	Suministros(Basado en Acuerdo Marco)
"Contrato derivado del ""Acuerdo marco para el suministro de mobiliario de oficina con destino al Ayuntamiento de Zaragoza (lotes 2 y 3)"""	Ayuntamiento		OFITA INTERIORES S.A.	26127	28/12/2018	Suministros(Abierto)
SUMINISTRO Y RENOVACIÓN DE EQUIPAMIENTO INFORMATICO DE PUESTO.	Ayuntamiento		OMEGA PERIPHERALS S.L	3280	27/12/2018	Servicios(Abierto)
"Contrato derivado del ""acuerdo marco para el suministro de mobiliario de oficina con destino al Ayuntamiento de Zaragoza (Lotes 2 y 3)"""	Ayuntamiento		OFITA INTERIORES S.A.	5364	27/12/2018	Suministros(Basado en Acuerdo Marco)
SUMINISTRO Y RENOVACIÓN DE EQUIPAMIENTO INFORMATICO DE PUESTO.	Ayuntamiento		OMEGA PERIPHERALS S.L	11804	27/12/2018	Servicios(Abierto)
"Contrato derivado del ""acuerdo marco para el suministro de mobiliario de oficina con destino al Ayuntamiento de Zaragoza (Lotes 2 y 3)"""	Ayuntamiento		MULTIESTILO S.L.	3249	27/12/2018	Suministros(Basado en Acuerdo Marco)
"Contrato derivado del ""Acuerdo marco para el suministro de mobiliario de oficina con destino al Ayuntamiento de Zaragoza (lotes 2 y 3)"""	Ayuntamiento		MULTIESTILO S.L.	10965	27/12/2018	Suministros(Abierto)
SUMINISTRO Y RENOVACIÓN DE EQUIPAMIENTO INFORMATICO DE PUESTO.	Ayuntamiento		TEKNOSERVICE	135000	26/12/2018	Servicios(Abierto)
SUMINISTRO Y RENOVACIÓN DE EQUIPAMIENTO INFORMATICO DE PUESTO.	Ayuntamiento		TEKNOSERVICE	23000	26/12/2018	Servicios(Abierto)
