people	ncontratos	importe
FUNDACION ADUNARE	9	7.179.976 €
FERROVIAL/AGROMAN S.A.	1	6.763.480 €
Sociedad Cooperativa Aragonesa Oroel 2008	1	5.309.863 €
VITALIA ANETO SL	1	4.289.509 €
ESERGUI DISTESER S.L.	1	3.305.785 €
ARAMARK SERVICIOS DE CATERING	1	1.838.060 €
BBVA RENTING S.A	1	1.608.916 €
FUNDACIÓN SAN VALERO	2	1.364.607 €
CONSTRUCCIONES MARIANO LÓPEZ NAVARRO, S.A.U.	3	1.277.625 €
FERROVIAL SERVICIOS SA	4	1.262.142 €
COMPAŃIA DE OBRAS PUBLICAS HORMIGONES 	3	1.259.109 €
BAUTISTA FIBROCEMENTOS Y FUNDIDOS SA	1	1.157.024 €
FUNDACION PICARRAL	1	1.099.957 €
PROFORMA EJECUCIÓN DE OBRAS Y RESTAURACIONES, S.L.	1	1.046.287 €
FUNDACIÓN MŞ AUXILIADORA	1	1.036.736 €
EULEN S.A.	3	951.913 €
CLECE, S.A. 	1	947.969 €
ASOCIACION TALLER EDUCATIVO LABORAL DE CASETAS	1	850.094 €
Urbanizaciones y Medio Ambiente S.L.U.	2	752.439 €
MANIPULADOS MONTEVEDADO SLU	1	736.430 €
Optima Facility Services, S.L. 	1	589.039 €
ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	15	567.572 €
Penny Wise, S.L. 	1	481.270 €
SOCIEDAD IBÉRICA DE CONSTRUCCIONES ELÉCTRICAS S.A.	1	453.175 €
IA SOFT ARAGÓN S.L.	5	408.703 €
INCLIZA-SL	2	346.023 €
Aijonmusic, SA 	5	313.000 €
GLOBAL-CONSTRUCCION-E-INFRAESTRUCTURA S.L.	2	296.474 €
IDECON S.A.U.	1	273.858 €
EL CORTE INGLÉS, S.A.	9	249.230 €
ORFEINTE S.L.	1	240.000 €
SERS CONSULTORES EN INGENIERIA Y ARQUITECTURA S.A.U. FULCRUM PLANIFICACION ANALISIS Y PROYECTOS S.A.U.	1	226.100 €
GUÍAS UNIDAS DE ZARAGOZA, UNIÓN TEMPORAL DE EMPRESAS	1	225.340 €
GLOBAL PROJECTS SUPPLIES	1	222.900 €
ARTAL VEHÍCULOS ZARAGOZA S.L.,	2	202.068 €
SOCIEDAD ESTATAL CORREOS Y TELÉGRAFOS SA	1	201.206 €
TELESONIC-SA	1	200.000 €
TEKNOSERVICE	3	199.658 €
PAVIJUS S.L.	1	197.253 €
Promotora de acción infantil (PAI) 	1	180.000 €
UTE EVENTOS MPH DIRECTO, S.L. Y ZUSUP S.L.	1	180.000 €
CAIXABANK, S.A.	2	171.500 €
PROVISER IBÉRICA, S.L.	2	134.397 €
Tecesa, S.L.U. 	1	126.208 €
LOOMIS SPAIN S.A	1	120.519 €
TRANVIASER-SL	1	118.473 €
TRADESEGUR S.A	2	118.410 €
CADENA COPE	3	116.000 €
A.B.SERVICIOS SELECTA  ESPAŃA, S.L.U.	1	115.200 €
Duetto Management, S .L. - ES	5	113.200 €
GRUPO SOLITIUM S.L	4	112.187 €
PINEAPPLE INSPIRA UNION TEMPORAL DE EMPRESAS	1	110.988 €
Gesmar Servicios Culturales, S.L. - ES	5	110.202 €
MULTIESTILO S.L.	4	107.395 €
Asoc. Cult las Voces Humanas - ES	4	105.788 €
AGAPITO URBAN INDUSTRIES, S.L.	8	104.785 €
Sanzkonzert, S.L. 	2	102.000 €
TELEFÓNICA 	1	100.826 €
