people	ncontratos	importe
FUNDACION ADUNARE	9	7179976
FERROVIAL/AGROMAN S.A.	1	6763480
Sociedad Cooperativa Aragonesa Oroel 2008	1	5309863
VITALIA ANETO SL	1	4289509
ESERGUI DISTESER S.L.	1	3305785
ARAMARK SERVICIOS DE CATERING	1	1838060
BBVA RENTING S.A	1	1608916
FUNDACIÓN SAN VALERO	2	1364607
CONSTRUCCIONES MARIANO LÓPEZ NAVARRO, S.A.U.	3	1277625
FERROVIAL SERVICIOS SA	4	1262142
COMPAÑIA DE OBRAS PUBLICAS HORMIGONES 	3	1259109
BAUTISTA FIBROCEMENTOS Y FUNDIDOS SA	1	1157024
FUNDACION PICARRAL	1	1099957
PROFORMA EJECUCIÓN DE OBRAS Y RESTAURACIONES, S.L.	1	1046287
FUNDACIÓN Mª AUXILIADORA	1	1036736
EULEN S.A.	4	995902
CLECE, S.A. 	1	947969
ASOCIACION TALLER EDUCATIVO LABORAL DE CASETAS	1	850094
Urbanizaciones y Medio Ambiente S.L.U.	2	752439
MANIPULADOS MONTEVEDADO SLU	1	736430
Optima Facility Services, S.L. 	1	589039
ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	15	567572
Penny Wise, S.L. 	1	481270
SOCIEDAD IBÉRICA DE CONSTRUCCIONES ELÉCTRICAS S.A.	1	453175
IA SOFT ARAGÓN S.L.	6	411973
INCLIZA-SL	2	346023
Aijonmusic, SA 	5	313000
GLOBAL-CONSTRUCCION-E-INFRAESTRUCTURA S.L.	2	296474
IDECON S.A.U.	1	273858
EL CORTE INGLÉS, S.A.	9	249230
ORFEINTE S.L.	1	240000
SERS CONSULTORES EN INGENIERIA Y ARQUITECTURA S.A.U. FULCRUM PLANIFICACION ANALISIS Y PROYECTOS S.A.U.	1	226100
GUÍAS UNIDAS DE ZARAGOZA, UNIÓN TEMPORAL DE EMPRESAS	1	225340
GLOBAL PROJECTS SUPPLIES	1	222900
ARTAL VEHÍCULOS ZARAGOZA S.L.,	2	202068
SOCIEDAD ESTATAL CORREOS Y TELÉGRAFOS SA	1	201206
TELESONIC-SA	1	200000
TEKNOSERVICE	3	199658
PAVIJUS S.L.	1	197253
Promotora de acción infantil (PAI) 	1	180000
UTE EVENTOS MPH DIRECTO, S.L. Y ZUSUP S.L.	1	180000
CAIXABANK, S.A.	2	171500
PROVISER IBÉRICA, S.L.	2	134397
Tecesa, S.L.U. 	1	126208
LOOMIS SPAIN S.A	1	120519
TRANVIASER-SL	1	118473
TRADESEGUR S.A	2	118410
CADENA COPE	3	116000
A.B.SERVICIOS SELECTA  ESPAÑA, S.L.U.	1	115200
Duetto Management, S .L. - ES	5	113200
GRUPO SOLITIUM S.L	4	112187
PINEAPPLE INSPIRA UNION TEMPORAL DE EMPRESAS	1	110988
Gesmar Servicios Culturales, S.L. - ES	5	110202
MULTIESTILO S.L.	4	107395
Asoc. Cult las Voces Humanas - ES	4	105788
AGAPITO URBAN INDUSTRIES, S.L.	8	104785
Sanzkonzert, S.L. 	2	102000
TELEFÓNICA 	1	100826
