centro	descripEs
movilidad	SERVICIO DE MOVILIDAD URBANA
limpieza	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS
equipamientos	EQUIPAMIENTOS INSTALACIONES
sociales	S. SOCIALES COMUNITARIOS
jardinerias	SERVICIO DE PARQUES Y JARDINES
infraestructuras	SERVICIO TÉCNICO DE INFRAESTRUCTURAS
deportivas	SERVICIO DE INSTALACIONES DEPORTIVAS
agua	CICLO INTEGRAL DEL AGUA
infraestructuras	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS
sistemas	SERVICIO DE REDES Y SISTEMAS
juventud	SERVICIO DE JUVENTUD
patrimonial	UNIDAD DE INVENTARIO Y GESTIÓN PATRIMONIAL
cartografía	SERVICIO DE EXPLOTACIÓN DE REDES Y CARTOGRAFIA
economía	SERVICIO ADMINISTRATIVO DE ECONOMIA
mayor	OFICINA TECNICA DEL MAYOR
amparo	CASA DE AMPARO
ambiente	DIRECCIÓN DE LA AGENCIA DE MEDIO AMBIENTEY SOSTENIBILIDAD
policia	POLICIA LOCAL
arquitectura	SERVICIO DE TALLERES Y BRIGADAS DE ARQUITECTURA
modernización	SERVICIO DE MODERNIZACION Y DESARROLLO ORGANIZATIVO
bomberos	SERVICIO CONTRA INCENDIOS, DE SALVAMENTO Y PROTECCIÓN CIVIL
urbanistica	SER.INSPECCIÓN URBANÍSTICA
