centro	descripEs	descripEscompleto
residuos	Limpieza pública y gestión de residuos	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS
movilidad	Movilidad urbana	SERVICIO DE MOVILIDAD URBANA
equipamientos	Equipamientos instalaciones	EQUIPAMIENTOS INSTALACIONES
jardines	Parques y jardines	SERVICIO DE PARQUES Y JARDINES
sociales	S. Sociales comunitarios	S. SOCIALES COMUNITARIOS
infraestructuras	Infraestructuras	SERVICIO TÉCNICO DE INFRAESTRUCTURAS
conservacion	Conservacion de infraestructuras	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS
deportivas	 Instalaciones deportivas	SERVICIO DE INSTALACIONES DEPORTIVAS
agua	Ciclo integral del agua	CICLO INTEGRAL DEL AGUA
cartografia	Explotación de redes y cartografia	SERVICIO DE EXPLOTACIÓN DE REDES Y CARTOGRAFIA
redes	Redes y sistemas	SERVICIO DE REDES Y SISTEMAS
juventud	Juventud	SERVICIO DE JUVENTUD
patrimonial	U. Inventario y gestión patrimonial	UNIDAD DE INVENTARIO Y GESTIÓN PATRIMONIAL
amparo	Casa de amparo	CASA DE AMPARO
mayor	Oficina tecnica del mayor	OFICINA TECNICA DEL MAYOR
sostenibilidad	D. Agencia medio ambiente y sostenibilidad	DIRECCIÓN DE LA AGENCIA DE MEDIO AMBIENTEY SOSTENIBILIDAD
brigadas	Talleres brigadas arquitectura	SERVICIO DE TALLERES Y BRIGADAS DE ARQUITECTURA
planificacion	Unidad de planificación de arquitectura	UNIDAD DE PLANIFICACIÓN DE ARQUITECTURA
policia	Policia local	POLICIA LOCAL
incendios	Incendios, salvamento, protección civil	SERVICIO CONTRA INCENDIOS, DE SALVAMENTO Y PROTECCIÓN CIVIL
turismo	S. Admtvo. De  fomento y turismo	SERVICIO ADMTVO. DE  FOMENTO Y TURISMO
modernizacion	Modernizacion y desarrollo organizativo	SERVICIO DE MODERNIZACION Y DESARROLLO ORGANIZATIVO
urbano	Ingenieria de desarrollo urbano	SERVICIO DE INGENIERIA DE DESARROLLO URBANO
operativo	Seccion de apoyo operativo	SECCION DE APOYO OPERATIVO
