id	name	length	sum
SCULTURAFESTIV	S.CULTURA FESTIVA	345	1525020
SSERVICISCENTR	S.SERVICIS CENTRALS TECNICS	92	1242426
OFDEPUBLICITAT	OF.DE PUBLICITAT I ANUNCIS OFICIALS	324	1130746
SJARDINERIA	S.JARDINERIA	49	1128119
SEDUCACIO	S. EDUCACIO	82	916980
SOBRESDINFRAES	S.OBRES D'INFRAESTRUCTURA	25	810268
STECNOLOGIESDE	S. TECNOLOGIES DE LA INFORMACIO Y LA COMUNICACIO	106	665377
SBOMBERSPREVEN	S.BOMBERS,PREVENCIO I INTERVENCIO I PROTEC.CIVIL	56	613256
SPATRIMONIHIST	S.PATRIMONI HISTORIC I ARTISTIC	122	579333
SACCIOCULTURAL	S.ACCIO CULTURAL	107	477761
SPEDANIES	S.PEDANIES	244	457552
SBENESTARSOCIA	S.BENESTAR SOCIAL I INTEGRACIO	111	452851
SJOVENTUD	S.JOVENTUD	55	392430
SESPORTS	S.ESPORTS	57	380386
SOCUPACIOIEMPR	S.OCUPACIO I EMPRENEDORIA	43	368436
SENLLUMENATIFO	S.ENLLUMENAT I FONTS ORNAMENTALS	10	314981
SCOMERCIABASTI	S.COMERC I ABASTIMENT	20	296850
SPALAUDELAMUSI	S.PALAU DE LA MUSICA I CONGRESSOS	99	264543
SRECURSOSCULTU	S.RECURSOS CULTURALS	49	251146
SPROTOCOL	S.PROTOCOL	115	250245
SCIRCULACIOITR	S.CIRCULACIO I TRANSPORT I LES SEUES INFRAESTRUCT.	11	247867
SUBAREASPLANEA	SUBAREA S.PLANEAM.I GESTIO URBANISTICA	17	231816
SDEVESA-ALBUFE	S.DEVESA-ALBUFERA	32	226358
SDROGODEPENDEN	S.DROGODEPENDENCIES	28	143280
STURISME	S.TURISME	16	135137
SCEMENTERIS	S.CEMENTERIS	5	103994
SPOLICIALOCAL	S.POLICIA LOCAL	17	101521
SDESCENTRALITZ	S.DESCENTRALITZACIO I PARTICIPACIO CIUTADANA	123	96476
SQUALITATIANME	S.QUALITAT I AN.MEDIAMB,CONTAM.ACUSTICA I PLATGES	9	95399
SSANITAT	S.SANITAT	5	94470
SPLATGES	S.PLATGES	17	90920
SENERGIESRENOV	S.ENERGIES RENOVABLES I CANVI CLIMATIC	15	86827
GABINETDECOMUN	GABINET DE COMUNICACIONS	6	50628
SRELACIONSINTE	S.RELACIONS INTERNACIONALS	4	47059
SCICLEINTEGRAL	S.CICLE INTEGRAL DEL L'AIGUA	5	42654
SORGANSUPORTJG	S.ORGAN SUPORT JGL I REGIDOR SECRETARI	12	35444
SINNOVACIOISOC	S.INNOVACIO I SOCIETAT DE LA INFORMACIO	8	26149
SCOORDOBRAVIAP	S.COORD.OBRA VIA PBCA I MANTENIMENT INFRAESTRUCT.	1	21394
SVIVENDA	S.VIVENDA	6	17846
SLLICENCESURBA	S.LLICENCES URBANISTIQUES OBRES D'EDIFICACIO	2	17497
SERVICISCENTRA	SERVICIS CENTRALS	3	10227
GABINETDALCALD	GABINET D'ALCALDIA	56	9891
SSOCIETATDELAI	S.SOCIETAT DE LA INFORMACIO	1	6000
SPATRIMONI	S.PATRIMONI	1	3459
OFICINADESTADI	OFICINA D'ESTADISTICA	1	805
